bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
4020910001,4050460,97-45 Queens Blvd,11374,Office,65,1961,158427,1,13,153.3,24293825.9,,5.35,Office,,0,5410985.1,,6491089.7,,0.82682,,,,,
1012750064,1035326,12 E. 41st Street,10017,College/University,,1926,83267,1,17,274.8,22885570.1,,9.58,College/University,,0,5466796.7,,,4370650.7,,,,,,
3052990011,3123349 ,1312 38th Street,11204,Other - Education,,2004,65148,1,5,256.9,16734329.4,21.32,8.33,,,0,4455631.7,,2438500.1,,,,,,,
1008940052,1019150,150 East 39 St.,10016,Multifamily Housing,,1928,130000,1,16,69.2,8996808.3,,2.77,Multifamily Housing,"{'Multifamily Housing': 125300.0, 'Other': 3500.0, 'Office': 1200.0}",0,1782583.7,46,122587.8,2842245.5,5,135,,,,
2025670013,2003811,Classified,10454,DCAS - Other - Lodging/Residential,,1988,72000,1,3,161.6,11636164.1,,6.26,Parking,,0,1842480,,5261000,,,,,,,
2028650049,2090448,Classified,10452,DCAS - Other - Lodging/Residential,,1990,68185,1,5,238,16230636.6,,9.05,,,0,2632699.2,,7022699.8,,,,,,,
3019830010,3056874,170 Gates Avenue,11238,K-12 School,93,1955,100800,1,3,86.7,8744088.6,,3.04,K-12 School,,0,1809724.8,,2611800,,,,,,,
1017000001,1052999,421 East 106th Street,10029,K-12 School,81,1964,109300,4,3,91.5,10002034.9,,3.88,K-12 School,,0,1845755.5,,65400,,,,,,3367200.1,
2032220620,2014900,161 West 180 St,10453,DCAS - College/University,,1967,227574,3,6,210.9,48006583.5,,7.72,College/University,,0,8455360.3,,18295501.1,,,,,,,
1000290073,1000850,44 Beaver St,10004,DCAS - Office,46,1950,97596,1,12,248,24206970.3,,9.54,Office,,0,4607448.6,,95400,7503096.1,2.12099,,,,,
1011090099,1076222,12th Ave at West 59th St,10019,DCAS - Other - Public Services,,1986,109000,1,2,54.3,5920585.4,,1.53,Parking,,0,1796418,,,,,,,,,
1019670024,1084102,168 Morningside Ave,10027,K-12 School,65,2012,33000,2,4,138.7,4575947.2,,4.97,K-12 School,,0,1065635.9,,519700,,,,,,504666,
1021700252,1064073,390 Wadsworth Avenue,10040,Multifamily Housing,10,1912,50000,1,6,188.6,9428182.9,,10.86,Multifamily Housing,,0,803015.6,70,268143.3,,,42,,6030291.7,,
2057010117,2083140,3058 Godwin Terrace,10432,Multifamily Housing,38,1927,50400,1,5,116.4,5868659.5,,7.34,Multifamily Housing,,0,607447.1,50,322865,,,42,,,3513190.2,
1014940069,1046770,1016 Fifth Avenue,10028,Multifamily Housing,62,1929,181050,1,15,106.3,19237050.8,,5.19,Multifamily Housing,"{'Multifamily Housing': 172550.0, 'Medical Office': 8500.0}",0,3350453.4,101,,,,51,,8346936.7,,0
1021800067,1064402,56 Bennett Avenue,10033,Multifamily Housing,95,1920,80000,1,6,96.6,7726562.1,42.1,3.94,Multifamily Housing,,0,879698.1,142,4401942.7,,,75,,,0,0
4019490090,4047929,59-21 Calloway Street,11368,Multifamily Housing,,1968,103000,1,6,151.9,15647274.5,,6.03,Multifamily Housing,,0,2288502.8,167,7407682.7,,,11,,,207000,
2028660009,2008448,54 West 174th Street,10453,Multifamily Housing,61,1930,59384,1,6,128.1,7607387.6,,5.33,Multifamily Housing,,0,892793.8,87,4395470.2,,,59,,,,
1015017502,1090105,1110 Park Avenue,10128,Multifamily Housing,,2013,56429,1,16,124.8,7042171.2,,3.53,Multifamily Housing,,0,2149217.5,37,,,,9,,,,
1014910001,1046426,980 Fifth Avenue,10075,Multifamily Housing,2,1968,223092,1,25,185.9,41472863.3,,7.3,Multifamily Housing,"{'Multifamily Housing': 223092.0, 'Parking': 21168.0}",0,7441324.8,92,,14132530.7,,45,,,,
1012900052,1035758,545 Madison Avenue,10022,Office,54,1956,141005,1,17,237.6,33508898.4,,7.82,Office,,0,9012183.2,,,4014897.1,2.3,,,,,
4006190006,4008606,32-05 Newtown Ave,11102,Multifamily Housing,76,1964,68770,1,6,118.1,8124908.7,144.52,6.94,Multifamily Housing,,0,666984.8,96.28,365750.3,,,81,,5262526.5,,
1014060050,1042823,160 East 72nd St,10021,Multifamily Housing,59,1928,67444,1,15,116.8,7875853.2,,4.7,Multifamily Housing,,0,1215881.7,46,41060,3040965.3,,20,,,,
1018700001,1056391,782 West End Avenue,10025,Multifamily Housing,80,1912,58469,1,12,108.3,6332802.4,37.84,4.46,Multifamily Housing,,0,644696.9,75,3786720.1,,,44,,,,
3011850001,3029670,260 Eastern Parkway,11225,K-12 School,70,1925,126107,1,4,92,11598111.1,,3.67,K-12 School,,0,1235453.4,,6553629,,,,,,,
1008370023,"1015891    	",29 West 35th Street,10001,Office,66,1928,71180,1,12,175.7,12506416,,5.85,Office,"{'Retail Store': 5700.0, 'Office': 65480.0}",0,3538761.2,,1657700,,2.29994,,,,,
4083730002,4456129 ,249-06 63 AVENUE ,11362,Multifamily Housing,8,1952,95056,56,2,178,16915554.5,,7.11,Multifamily Housing,,0,2103971.2,148,9054916.5,,,108,,,,
1007510001,1082793,345 8th Avenue,10001,Multifamily Housing,92,1960,409200,5,22,89.1,36439501.5,,5.04,Multifamily Housing,,0,,524,25581840.8,,,378,,,9483731.4,
4014470001,4035594,86-10 34th Avenue,11372,Multifamily Housing,81,1937,104476,1,6,102.5,10709736.4,49.83,4.18,Multifamily Housing,,0,1281072.4,150,6029670.2,,,84,,,,
2032810040,2016459,357 E 201st Street,10458,Multifamily Housing,45,1947,50000,1,6,159,7949625.4,0.63,10.71,Multifamily Housing,,0,169999.5,87,,,,63,,6906237.6,,
2032920062,2016747,311 Bedford Park Boulevard,10458,Multifamily Housing,34,1940,50000,1,6,161,8047918.7,49.37,10.58,Multifamily Housing,,0,154519.2,72,,,,51,,6833238.1,,
1010287502,1024898,224 West 57th St,10019,Office,85,1909,169416,1,11,162,27445778.6,,5.13,Office,"{'Bank Branch': 4662.0, 'Office': 164754.0}",0,7643166,,1460370.8,1235343.2,3.12163,,,,,
1006010013,1010388,67 Clarkson St.,10014,Distribution Center,25,1969,150000,1,3,171.9,25790505.4,,5.74,Distribution Center,,0,5995653.3,,5743629.7,,,,,,,
1010700001,1026906,"560 W. 42nd,",10036,Distribution Center,48,1978,91564,1,3,118.5,10846741.3,,3.66,Distribution Center,"{'Distribution Center': 80193.0, 'Office': 11371.0}",0,3035792.9,,1008400,,0.87943,,,,,
4038800097,4094962,90-60 Union Turnpike,11385,Multifamily Housing,1,1960,295000,1,20,223.7,65999196.4,111.43,9.69,Multifamily Housing,"{'Multifamily Housing': 295000.0, 'Parking': 50000.0}",0,5553811.2,413,42740899.1,,,354,,,993599.9,
4097557501,"4208831    	",89-14 Parsons Boulevard,11432,Multifamily Housing,100,2006,395792,1,12,58.6,23212244.9,,2.21,Multifamily Housing,,0,4549753.9,554,8500969.1,,,356,,,,
1008867503,1076154,127 EAST 30TH STREET,10016,Multifamily Housing,96,1989,75000,1,19,83.8,6284365.3,63.33,4.89,Multifamily Housing,,0,709696.1,118.33,60700,,,77.41,,3952658.1,,
4008580005,4018351,21-21 Crescent Street,11105,K-12 School,95,1962,273124,1,3,83.7,22861409.2,2.84,3.41,K-12 School,,0,2050642.2,,13975579.2,,,,,,,
3002550044,3002248 ,32 Court Street,11201,Office,87,1917,110000,1,23,143.5,15787503.5,31.15,5.21,Office,,0,3127861.7,,5333068.8,,2.3,,,,,
4002560021,4003458 ,34-24 Hunters Point Avenue,11101,Other,,1954,65500,1,2,123.5,8086450.4,3.05,5.52,Other,,0,16570,,6780457.4,,,,,,,
1000317501,1085950,75 Wall Street,10005,Multifamily Housing,1,1987,346253,2,36,329.3,114011317.9,,11.48,Multifamily Housing,,0,28394789.2,700,3130948.5,17672009,,349,,,,
1008920062,1018978,"285 Lexington Avenue; 281 Lexington Avenue",10016,Multifamily Housing,,1974,115259,1,26,125.8,14502172.6,,4.67,Multifamily Housing,"{'Multifamily Housing': 102804.0, 'Medical Office': 11755.0, 'Office': 700.0}",0,2825095.7,148,5196836.6,,1.42857,108,,,,
1008920025,1018953,137 East 36 Street,10016,Multifamily Housing,,1966,127024,1,24,122.7,15583618.6,,4.5,Multifamily Housing,"{'Multifamily Housing': 124024.0, 'Medical Office': 3000.0}",0,3141310,148,5279366.4,,,115,,,,
4018370104,4045260,86-15 Broadway,11373,Multifamily Housing,61,1964,192655,1,14,127.6,24575213.5,40.58,5.18,Multifamily Housing,,0,3171996,283,13250971.7,,,155,,,,
3073690027,3320769,"2190 Brigham St; 2170 Brigham St;",11229,Multifamily Housing,59,1952,167750,3,6,136,22818382.9,40.65,5.47,Multifamily Housing,,0,2999107,303,12035498.5,,,162,,,,
4051370067,4115903,43-10 Kissena Blvd,11355,Multifamily Housing,42,1962,225877,1,15,153.3,34637334.7,56.62,6.1,Multifamily Housing,,0,4373273.8,381,18300092.9,,,198,,,,
3061290012,3155914,9701 Shore Road,11209,Multifamily Housing,60,1935,114753,1,6,125.5,14406227,37.22,4.97,Multifamily Housing,,0,1992572.8,150,7260463.3,,,91,,,,
1012050034,1031626,320 Central Park West,10025,Multifamily Housing,53,1931,349345,1,19,107.1,37405008.5,32.52,4.18,Multifamily Housing,,0,5360524.9,229,18141862.3,,,188,,,,
1012410052,1033653,250 W 94th St,10025,Multifamily Housing,91,1925,284409,1,15,91.7,26079386.4,29.9,3.51,Multifamily Housing,"{'Multifamily Housing': 277209.0, 'Retail Store': 7200.0}",0,3826830.9,278,12131902.8,,,142,,,,
1009090001,1019888,201 East 28th Street,10016,Multifamily Housing,48,1964,253489,1,20,133.5,33830929.6,58.48,6.13,Multifamily Housing,,0,2551680.2,354.88,24782521.8,,,252,,,,
2059530550,2091948,5610 Netherland Ave,10471,Multifamily Housing,59,1949,395521,4,6,141.3,55901127.6,53.27,7.66,Multifamily Housing,,0,5416659.4,594,682081.2,,,462,,,33575675.8,
1010387501,1087980,785 8th Ave,10036,Multifamily Housing,1,1925,100000,1,43,239.2,23921148.1,58.48,8.2,Multifamily Housing,,0,5932295.3,140,5068458.3,,,122,,,,
1008640028,1017100,47 E 34 St,10016,Multifamily Housing,,2007,106167,2,36,158.3,16801588.8,26.62,5.74,Multifamily Housing,"{'Multifamily Housing': 103167.0, 'Retail Store': 3000.0}",0,3642972.4,184,5114338.4,,,110,,,,
4042850010,4433296,141-16 25th Road,11354,Multifamily Housing,28,1957,499960,19,6,174,86982944.6,65.92,9.65,Multifamily Housing,,0,8911006.6,926,2554274.2,,,506,,51296857,,
4065270052,4141901,66-10 149th St,11367,Multifamily Housing,61,1954,115181,1,6,139.2,16029394.7,47.55,5.55,Multifamily Housing,,0,2094767.3,216,8376211.5,,,108,,,,
1011157502,1027461,61 West 62nd Street,10023,Multifamily Housing,14,1980,318870,1,27,164.9,52583839.4,66.27,6.53,Multifamily Housing,"{'Multifamily Housing': 306870.0, 'Other': 6000.0, 'Restaurant': 6000.0}",0,8149461.6,370,24970898.5,,,267,,,,
1014670001,1045843,399 E 72 St,10021,Multifamily Housing,89,1960,189403,1,20,99.2,18784836.3,,4.18,Multifamily Housing,"{'Multifamily Housing': 183653.0, 'Retail Store': 5000.0}",0,2586750.9,203,389540,7989497.9,,165,,,,
4051930009,4443493,43-35 Union St,11355,Multifamily Housing,50,1954,166496,3,6,124,20637911.6,35.51,6.5,Multifamily Housing,,0,2668015.2,158,1043893.9,,,156,,10352129.4,,
3020680001,3322034,105 Ashland Place,11201,Multifamily Housing,51,1957,329647,6,15,147.3,48568743.9,,6.11,Multifamily Housing,,0,4362845.8,562,30317917,,,292,,,,
3054951018,3131068,1170 Ocean Parkway,11230,Multifamily Housing,5,1965,226965,1,13,171.7,38980891.7,,7.52,Multifamily Housing,,0,4349190.8,233,24533099.7,,,155,,,,
1011587501,1070689,160 West End Avenue,10023,Multifamily Housing,51,1962,480000,1,29,134.6,64631065.5,,5.28,Multifamily Housing,"{'Multifamily Housing': 468752.0, 'Retail Store': 5248.0, 'Office': 6000.0}",0,12124792.8,565,1267180,20225490.6,3.33333,508,,,,
1013900023,1041695,35 E 75 Street Corp.,10021,Multifamily Housing,93,1960,215873,1,17,91.6,19782454,,3.64,Multifamily Housing,"{'Multifamily Housing': 200873.0, 'Retail Store': 15000.0, 'Parking': 34600.0}",0,4061096.6,152,19708.8,6144769.4,,76,,,,
1001367505,1088224,85 West Broadway,10007,Hotel,,2007,78426,1,13,310.5,24350571.6,,10.94,Hotel,"{'Multifamily Housing': 22079.0, 'Other': 6638.0, 'Hotel': 49709.0}",0,5963152.8,23,,4587268.2,,15,,,,
1000157502,"1087243;1000046",20 West St,10006,Multifamily Housing,31,1929,227463,1,45,170,38665379.8,,6.22,Multifamily Housing,"{'Multifamily Housing': 207463.0, 'Retail Store': 20000.0}",0,8594487,283,190709.4,9149821.1,,283,,,,
1002177503,1002814,250 West Street,10013,Multifamily Housing,65,1906,289122,1,12,113.6,32842283.7,,3.84,Multifamily Housing,,0,8003272.2,250,6908628,,,104,,,,
1008980001,1019551,201 East 17th Street,10003,Multifamily Housing,44,1973,269220,1,32,160.6,43248862.7,,6.57,Multifamily Housing,"{'Multifamily Housing': 231220.0, 'Medical Office': 38000.0, 'Parking': 39804.0}",0,6887133.1,390,769076.5,16412615.3,,270,,,,
1000287501,1000835,1 Wall Street Ct,10005,Multifamily Housing,66,1987,105015,1,15,145.7,15304925.5,,4.9,Multifamily Housing,"{'Multifamily Housing': 82073.0, 'Other': 11471.0, 'Restaurant': 11471.0}",0,3730339.3,171,3162671.9,,,126,,,,
1013300004,1038590,200 East 57th Street,10022,Multifamily Housing,91,1960,431730,1,20,87.9,37958684.7,,3.38,Multifamily Housing,"{'Multifamily Housing': 406730.0, 'Retail Store': 25000.0, 'Parking': 22000.0}",0,7199777.1,376,400060,11607525.3,,194,,,,
1011587505,1070721,170 West End Avenue,10023,Multifamily Housing,53,1962,482294,1,42,129.6,62506432.5,,5.04,Multifamily Housing,"{'Multifamily Housing': 476294.0, 'Office': 6000.0}",0,11800334.1,600,1044146.6,19306597.8,2.31667,484,,,,
3021117501,3059183,1 Hanson Pl.,11243,Multifamily Housing,1,1927,286061,1,41,257.6,73681846.1,83.58,9.62,Multifamily Housing,"{'Self-Storage Facility': 6000.0, 'Multifamily Housing': 205358.0, 'Medical Office': 42083.0, 'Social/Meeting Hall': 32620.0}",0,14603905.9,304,26301050.5,,,190,,,,
1014050040,1042740,176 East 71st Street,10075,Multifamily Housing,78,1962,223282,1,20,104.7,23381586.6,40.58,4.01,Multifamily Housing,"{'Multifamily Housing': 200954.0, 'Medical Office': 6000.0, 'Retail Store': 16328.0}",0,4276418.9,215,9379033.2,,,97,,,,
1014587503,1085199,425 East 63rd Street,10065,Multifamily Housing,12,1956,493220,2,13,103.7,51161769.1,40.65,4.04,Multifamily Housing,,0,7759616.2,209,23985217.7,,,249,,,,
1012337502,1033131,255 W. 85th Street,10024,Multifamily Housing,96,1986,70563,1,21,80.4,5672428.7,32.76,3.28,Multifamily Housing,,0,643619.6,72,3226439.9,,,38,,,,
1006167501,1067567,2 Horatio Street,10014,Multifamily Housing,92,1962,230644,1,17,95.6,22039493.6,30.62,3.89,Multifamily Housing,"{'Multifamily Housing': 210644.0, 'Retail Store': 20000.0}",0,2627666.5,271,12298700.1,,,242,,,,
1005767502,1066992,59 West 12 Street,10011,Multifamily Housing,72,1931,134694,1,17,104.8,14116805.5,38.12,4.03,Multifamily Housing,"{'Multifamily Housing': 119728.0, 'Office': 14966.0}",0,2227655.5,95,6328003.1,,2.28591,95,,,,
3026120125,3065470,301 Norman Avenue,11222,Office,99,1970,57500,1,2,54,3103416.3,,1.77,Office,,0,1094586.7,,,,1.08696,,,,,
3057980001,3143892,6223 2ND AVENUE,11220,Other - Services,,1947,77000,1,2,110.3,8491675.4,9.41,3.92,,,0,1754959.1,,2620583.2,,,,,,,
4038570300,4094448,76-02 woodhaven blvd,11385,Self-Storage Facility,,1947,104079,1,2,51.8,5386320,0.66,1.91,Self-Storage Facility,,0,916758.2,,2135928.9,,,,,,,
4036080001,4087416,6335 Fresh Pond Road,11385,Self-Storage Facility,,2013,59589,1,2.33,61,3636760,1.16,2.13,Self-Storage Facility,,0,697368.8,,1175151.8,,,,,,,
3013140021,3034760,200 Empire loan,11225,Self-Storage Facility,,2011,51975,1,3,103.6,5383232.6,2.21,3.77,Self-Storage Facility,,0,963152.6,,2005490.4,,,,,,,
3058100021,3144124,534 63 Street,11220,Self-Storage Facility,,2005,135600,1,2,67.5,9148828.3,0.62,2.36,Self-Storage Facility,,0,1948890.3,,2610996.7,,,,,,,
4038100161,4437922,7502 88 street,11385,Self-Storage Facility,,2007,74009,2,2,55.2,4082278.7,1.43,2.22,Self-Storage Facility,,0,637291.1,,1982080.6,,,,,,,
4101020004,4215623,162-10 Jamaica Ave,11432,Office,48,1946,459965,1,7,218.3,100405620.3,19.15,6.45,Office,"{'Retail Store': 90377.0, 'Office': 337588.0, 'Non-Refrigerated Warehouse': 32000.0}",0,31984083.1,,,,1.74621,,,,,
1012440072,"1080437;1080438",441-451 West End Avenue,10024,Multifamily Housing,64,1925,240040,2,15,115.5,27713127.2,,5.92,Multifamily Housing,,0,3550549.9,336.06,486268.8,,,288.05,,14162877.2,,
2041620001,2045912,1737-39 Pilgrim Ave,10464,Multifamily Housing,,1932,50885,1,5,137.8,7013361.6,66.69,7.53,Multifamily Housing,"{'Multifamily Housing': 49227.0, 'Retail Store': 1658.0}",0,846127.7,80,188525,,,65,,3915135.7,,
4010170065,4022551,2544 Borough Place,11377,Office,87,2008,58136,1,2,141.6,8233277.8,8.23,5,Office,"{'Office': 58136.0, 'Parking': 8000.0}",0,1568709.7,,2734316,,2.3,,,,,
3001400106,3000261,375 Pearl Street,11201,K-12 School,93,1972,110000,1,7,130.3,14329366.4,,4.5,K-12 School,,0,3141724.2,,3840360.8,,,,,,,
1013360031,1038670,3 UN Plaza,10017,Office,82,1987,208203,1,15,253.9,52858089.3,24.35,8.16,Office,"{'Data Center': 4368.0, 'Office': 200547.0, 'Restaurant': 3288.0}",1,14472792.2,,,5350249.1,2.99182,,,,,
1005800019,1009749,163 Varick Street,10013,Office,95,1925,51000,1,6,85.4,4355035.4,39.38,3.65,Office,"{'Retail Store': 15000.0, 'Office': 36000.0}",0,519785.4,,2593246.9,,2.3,,,,,
2033260105,2017751,45 East Mosholu Parkway,10467,Multifamily Housing,39,1926,70650,1,6,129.9,9176849.7,,5.43,Multifamily Housing,,0,961338.7,87,5541349,,,72,,,,
2051070010,"2071762;2100095;2825377",4754 Richardson Ave,10470,Multifamily Housing,37,1939,87900,2,6,136.8,12024769.5,,5.27,Multifamily Housing,,0,1710200.7,123,5739331.1,,,84,,,,
1007990003,1076141,160 West 24th Street,10011,Multifamily Housing,67,1987,206974,3,19,116.9,24195499,,3.61,Multifamily Housing,,0,6843352.5,289,2096830.2,,,204,,,,
1021360086,1063322,47 Fort Washington Ave,10032,Multifamily Housing,66,1983,63084,1,6,112.5,7098660.2,47.28,6.32,Multifamily Housing,,0,780572.4,88.32,,,,41,,4335324,,
1010930042,1027104,616-620 West 46th Street,10036,Retail Store,,1920,52500,1,6,63.6,3340103.8,11.9,3.24,Retail Store,"{'Retail Store': 30000.0, 'Non-Refrigerated Warehouse': 22500.0}",0,363373.6,,112564.5,,,,,,1757954.3,
1022430339,1082063,532 West 215th Street,10034,College/University,,1925,55000,2,5,103.5,5695173.6,,5.91,College/University,,0,411789.1,,,,,,,,3864745.1,
1007940017,1014716,135 West 18th Street,10011,Office,63,1989,52500,1,6,212.7,11165112.9,30.01,6.56,Office,,0,3222228.6,,854145.3,,2.85714,,,,,
3008030192,3013802,14 53rd Street,11232,Enclosed Mall,,1918,422589,1,8,50,21117286.3,,1.84,Enclosed Mall,"{'Enclosed Mall': 422589.0, 'Parking': 8280.0}",0,4413866.8,,6900899.9,,,,,,,
2033280143,2017820,3520 Dekalb Ave,10467,Multifamily Housing,46,1927,52000,1,6,138.5,7200973.3,,5.95,Multifamily Housing,,0,658342.1,96,4672652.2,,,48,,,,
2046330001,2057043,831 Bartholdi Street,10467,Multifamily Housing,53,1973,127725,1,6,108.8,13900123.9,,4.27,Multifamily Housing,,0,2150484.5,122,6515781.6,,,122,,,,
4000540006,4000460,11-40 45th Road,11101,Office,89,2004,56777,1,2,79.2,4497190.9,6.79,2.53,Office,"{'Worship Facility': 23287.0, 'Office': 29240.0}",0,1236739.6,,539345.3,,2.12038,,,,,
2030060026,2010900,1000 Freeman Street,10459,Multifamily Housing,1,1931,64764,1,6,209.2,13551486.1,,8.98,Multifamily Housing,,0,1275926.7,90,8721284.3,,,55,,,,
4003120330,4003738,39-30 Review Avenue,11101,Manufacturing/Industrial Plant,,1906,50400,1,2,108.3,5456939.4,,4.34,Manufacturing/Industrial Plant,,0,689445.4,,2914330.1,,,,,,,
3002750001,3002734,200 Clinton Street,11201,Multifamily Housing,,1923,80566,1,6,135.1,10882207.5,4547.66,5.23,Multifamily Housing,"{'Medical Office': 2880.0, 'Office': 1315.0, 'Restaurant': 1900.0, 'Other': 383.0, 'Retail Store': 960.0, 'Multifamily Housing': 73128.0}",0,1693712.2,92,4975491,,3.80228,77,,,,
1012750044,1035320,52 East 41st Street,10017,Hotel,5,1910,67140,1,14,250.6,16826064.4,91.75,8.88,Hotel,,0,3947804,,4324139,,,,,,,
1011460061,1030095,166 West 75th Street,10023,Multifamily Housing,32,1922,81339,1,15,217,17647965.6,,10.62,Multifamily Housing,"{'Multifamily Housing': 74539.0, 'Retail Store': 6800.0}",0,2768472,180,1258440.5,,,180,,,7274628.2,
1011860083,1031127,393 West End Avenue,10024,Multifamily Housing,93,1927,134183,1,16,90.6,12156491.9,,4.82,Multifamily Housing,,0,1224175.6,172,311881.8,,,114,,,6953696.1,
1014920049,1046638,1067 Madison Avenue,10028,Multifamily Housing,,1955,53880,1,13,149.3,8041862.7,66.79,6.32,Multifamily Housing,"{'Multifamily Housing': 49822.0, 'Retail Store': 3450.0, 'Office': 608.0}",0,1657507.8,69.75,238185.9,,0,59.79,,,2346965.9,
2033200013,2017613,26 Bedford Park Blvd.,10468,Multifamily Housing,,1926,69604,1,5,108,7517369.9,33.03,5.91,Multifamily Housing,"{'Multifamily Housing': 61654.0, 'Retail Store': 7100.0, 'Supermarket/Grocery': 850.0}",0,823144.8,86.32,308155.4,,,73.98,,,4293493.7,
